voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000029688,BLADEN,WHITE,M,50,TAR HEEL,NC,28392,UNA,1,1,1
000000041065,BLADEN,WHITE,F,49,BLADENBORO,NC,28320,REP,1,1,1
000000030656,BLADEN,WHITE,M,47,BLADENBORO,NC,28320,REP,1,1,1
000000064667,BLADEN,UNDESIGNATED,U,60,BLADENBORO,NC,28320,REP,0,1,1
000000063414,BLADEN,WHITE,M,32,BLADENBORO,NC,28320,REP,0,1,1
000000014573,BLADEN,WHITE,M,81,BLADENBORO,NC,28320,UNA,1,1,1
000000021636,BLADEN,WHITE,F,64,BLADENBORO,NC,28320,UNA,1,1,1
000000026338,BLADEN,WHITE,F,94,ELIZABETHTOWN,NC,28337,UNA,1,1,1
000000051869,BLADEN,WHITE,M,58,BLADENBORO,NC,28320,REP,1,1,1
000000014570,BLADEN,WHITE,F,76,BLADENBORO,NC,28320,UNA,1,0,1
000000035857,BLADEN,WHITE,F,47,TAR HEEL,NC,28392,UNA,1,1,1
000000053435,BLADEN,WHITE,M,35,ELIZABETHTOWN,NC,28337,UNA,1,1,1
000000029655,BLADEN,WHITE,M,53,TAR HEEL,NC,28392,DEM,1,1,1
000000009498,BLADEN,WHITE,M,70,BLADENBORO,NC,28320,UNA,1,1,1
000000009499,BLADEN,WHITE,M,74,BLADENBORO,NC,28320,UNA,1,1,1
000000005815,BLADEN,WHITE,M,83,BLADENBORO,NC,28320,REP,1,1,1
000000068927,BLADEN,WHITE,F,19,BLADENBORO,NC,28320,REP,0,0,1
000000006748,BLADEN,WHITE,F,80,BLADENBORO,NC,28320,REP,1,1,1
000000046805,BLADEN,WHITE,M,37,ELIZABETHTOWN,NC,28337,DEM,1,1,1
000000054960,BLADEN,WHITE,F,31,ELIZABETHTOWN,NC,28337,REP,0,1,1
000000051757,BLADEN,WHITE,F,36,BLADENBORO,NC,28320,UNA,1,1,1
000000015254,BLADEN,WHITE,M,77,BLADENBORO,NC,28320,UNA,1,1,1
000000005833,BLADEN,WHITE,M,76,BLADENBORO,NC,28320,UNA,1,1,1
000000071869,BLADEN,WHITE,M,61,BLADENBORO,NC,28320,REP,0,0,1
000000014571,BLADEN,WHITE,F,72,TAR HEEL,NC,28392,UNA,1,1,1
000000029034,BLADEN,WHITE,M,47,ELIZABETHTOWN,NC,28337,UNA,1,1,1
000000039485,BLADEN,WHITE,M,41,ELIZABETHTOWN,NC,28337,UNA,1,1,1
000000067241,BLADEN,TWO or MORE RACES,F,28,WHITE OAK,NC,28399,UNA,1,1,1
000000040511,BLADEN,WHITE,M,42,BLADENBORO,NC,28320,UNA,1,1,1
000000066453,BLADEN,WHITE,F,49,WHITE OAK,NC,28399,UNA,0,0,1
000000022361,BLADEN,WHITE,F,66,BLADENBORO,NC,28320,UNA,1,1,1
000000050048,BLADEN,WHITE,F,52,TAR HEEL,NC,28392,DEM,1,1,1
000000068335,BLADEN,WHITE,F,19,TAR HEEL,NC,28392,REP,0,0,1
000000038885,BLADEN,WHITE,F,64,BLADENBORO,NC,28320,UNA,1,1,1
000000045735,BLADEN,WHITE,F,36,ELIZABETHTOWN,NC,28337,DEM,1,1,1
000000028772,BLADEN,WHITE,M,51,BLADENBORO,NC,28320,REP,1,1,1
000000040655,BLADEN,WHITE,F,40,BLADENBORO,NC,28320,DEM,1,1,1
000000014329,BLADEN,WHITE,F,64,BLADENBORO,NC,28320,UNA,1,1,1
000000005850,BLADEN,WHITE,F,81,DUBLIN,NC,28332,DEM,1,1,1
000000056722,BLADEN,WHITE,M,27,BLADENBORO,NC,28320,DEM,1,1,1
000000068315,BLADEN,WHITE,F,19,TAR HEEL,NC,28392,UNA,0,0,1
000000019278,BLADEN,WHITE,F,78,BLADENBORO,NC,28320,UNA,1,1,1
000000009505,BLADEN,WHITE,M,75,BLADENBORO,NC,28320,DEM,1,1,1
000000024156,BLADEN,WHITE,M,62,BLADENBORO,NC,28320,UNA,1,1,1
000000062149,BLADEN,WHITE,M,23,TAR HEEL,NC,28392,UNA,0,1,1
000000005891,BLADEN,WHITE,M,80,BLADENBORO,NC,28320,REP,1,1,1
000000067004,BLADEN,WHITE,M,20,BLADENBORO,NC,28320,UNA,0,0,1
000000005893,BLADEN,WHITE,F,78,BLADENBORO,NC,28320,DEM,1,1,1
000000016748,BLADEN,WHITE,M,58,ELIZABETHTOWN,NC,28337,UNA,0,1,1
000000040900,BLADEN,WHITE,F,67,BLADENBORO,NC,28320,UNA,1,1,1
000000057650,BLADEN,WHITE,F,27,BLADENBORO,NC,28320,UNA,1,1,1
000000040036,BLADEN,WHITE,M,46,ELIZABETHTOWN,NC,28337,REP,1,1,1
000000030063,BLADEN,WHITE,M,72,BLADENBORO,NC,28320,UNA,1,1,1
000000020531,BLADEN,WHITE,M,66,BLADENBORO,NC,28320,UNA,1,1,1
000000044226,BLADEN,WHITE,F,55,BLADENBORO,NC,28320,UNA,1,1,1
000000065149,BLADEN,WHITE,F,57,ELIZABETHTOWN,NC,28337,UNA,0,1,1
000000032889,BLADEN,WHITE,F,50,TAR HEEL,NC,28392,UNA,1,1,1
000000052436,BLADEN,WHITE,F,53,ELIZABETHTOWN,NC,28337,UNA,1,1,1
000000059205,BLADEN,WHITE,M,68,TAR HEEL,NC,28392,REP,0,1,1
000000045039,BLADEN,WHITE,F,61,DUBLIN,NC,28332,REP,1,1,1
000000069307,BLADEN,WHITE,M,18,ELIZABETHTOWN,NC,28337,REP,0,0,1
000000005902,BLADEN,WHITE,M,84,BLADENBORO,NC,28320,UNA,1,1,1
000000062806,BLADEN,WHITE,M,63,BLADENBORO,NC,28320,UNA,0,1,1
000000030061,BLADEN,WHITE,M,60,BLADENBORO,NC,28320,DEM,1,1,1
000000071862,BLADEN,WHITE,F,48,BLADENBORO,NC,28320,REP,0,0,1
000000005904,BLADEN,WHITE,F,67,BLADENBORO,NC,28320,UNA,1,1,1
000000021652,BLADEN,WHITE,M,53,DUBLIN,NC,28332,DEM,1,1,1
000000022265,BLADEN,WHITE,M,78,BLADENBORO,NC,28320,REP,1,1,1
000000062187,BLADEN,WHITE,F,23,ELIZABETHTOWN,NC,28337,REP,0,1,1
000000022512,BLADEN,WHITE,M,80,BLADENBORO,NC,28320,DEM,1,1,1
000000062576,BLADEN,INDIAN AMERICAN or ALASKA NATIVE,F,49,BLADENBORO,NC,28320,DEM,1,1,1
000000027547,BLADEN,WHITE,F,85,ELIZABETHTOWN,NC,28337,REP,1,1,1
000000010931,BLADEN,WHITE,M,71,ELIZABETHTOWN,NC,28337,UNA,1,1,1
000000058546,BLADEN,WHITE,F,58,ELIZABETHTOWN,NC,28337,REP,1,1,1
000000055234,BLADEN,WHITE,F,29,ELIZABETHTOWN,NC,28337,UNA,1,1,1
000000054953,BLADEN,WHITE,F,38,ELIZABETHTOWN,NC,28337,REP,1,1,1
000000042823,BLADEN,WHITE,F,55,BLADENBORO,NC,28320,REP,1,1,1
000000051736,BLADEN,WHITE,M,33,BLADENBORO,NC,28320,DEM,1,1,1
000000020608,BLADEN,WHITE,F,54,BLADENBORO,NC,28320,REP,0,1,1
000000038986,BLADEN,WHITE,M,51,CLARKTON,NC,28433,UNA,1,1,1
000000069695,BLADEN,WHITE,M,19,BLADENBORO,NC,28320,REP,0,0,1
000000066693,BLADEN,WHITE,M,21,CLARKTON,NC,28433,UNA,0,0,1
000000050515,BLADEN,WHITE,F,36,BLADENBORO,NC,28320,REP,1,1,1
000000050490,BLADEN,WHITE,F,43,WHITE OAK,NC,28399,UNA,0,0,1
000000048097,BLADEN,WHITE,F,34,BLADENBORO,NC,28320,UNA,1,1,1
000000063738,BLADEN,WHITE,M,79,WHITE LAKE,NC,28337,REP,1,1,1
